Elevation,Aspect,Slope,Type
2862,70,37,2
3018,296,23,1
3077,288,3,2
2689,359,23,2
3215,5,8,1
3291,177,18,1
2965,45,6,2
3123,104,10,1
3158,41,10,2
2698,346,10,2
2950,43,12,1
3214,92,8,1
3065,158,10,2
2944,303,13,1
3338,307,20,1
3105,170,11,1
2876,351,47,2
3185,255,5,2
3029,288,3,2
2601,190,17,2
2691,66,5,2
2965,45,17,2
2862,237,23,2
2640,80,7,2
2676,48,7,2
3132,134,16,2
2693,112,9,2
2756,143,22,2
3228,201,20,1
3057,178,14,1
3243,64,14,2
2664,123,20,2
3358,184,14,1
3110,41,5,1
3186,329,6,2
3255,62,10,1
3351,99,27,1
2932,203,6,2
3011,148,7,1
2820,234,14,1
3214,339,9,1
2783,338,13,2
3041,50,17,1
3080,133,19,1
3333,11,11,1
3059,320,13,1
2968,209,22,2
2962,120,13,2
2960,144,12,2
3041,197,15,2
3221,285,18,2
3086,325,10,1
3131,106,10,2
2948,162,2,2
3211,96,4,1
2711,3,20,2
2977,56,11,2
3227,36,11,1
3243,39,6,1
2614,117,16,2
3289,70,20,1
2705,50,11,2
2833,355,20,2
2915,128,8,1
2749,63,18,2
2650,34,5,2
3216,330,5,1
2587,73,7,2
3391,309,13,1
3033,310,18,1
2978,140,15,2
2838,318,29,1
3086,53,17,1
2659,53,7,2
2859,37,7,2
2773,340,12,1
3077,178,15,1
3100,326,3,1
3139,343,16,1
3275,84,9,1
3020,217,12,2
2531,135,3,2
3256,58,16,2
3269,331,15,1
2851,52,11,2
3057,117,8,2
2884,40,19,2
3125,337,7,1
3245,345,26,1
2875,294,16,2
2821,34,5,2
3127,167,9,1
2862,113,22,2
3044,45,4,2
2821,45,7,2
3182,320,8,1
2726,80,12,2
3281,149,18,1
2727,88,12,2
2785,28,9,2
3119,339,19,1
3413,33,22,1
3016,69,8,2
3096,81,19,1
2976,245,10,2
3204,143,7,1
3122,36,2,2
2967,10,20,1
2883,132,14,1
3051,75,11,2
2922,90,1,2
3139,106,6,1
3105,45,8,1
2902,223,10,2
3106,161,13,1
3347,13,18,1
3087,160,21,2
3118,123,8,2
2927,37,14,2
3012,330,9,2
3031,331,17,1
2960,57,13,2
2972,191,10,1
2939,292,29,2
3024,49,9,2
3130,47,19,1
3554,57,10,1
3263,241,10,1
3129,140,7,1
2631,115,9,2
3236,286,26,2
3034,100,12,2
3012,76,10,2
2889,69,6,2
3041,110,7,1
2560,74,14,2
2936,310,12,2
3318,274,8,1
2964,359,13,1
3332,14,10,1
2979,134,25,1
3055,72,7,1
2935,148,6,2
3000,30,21,2
3146,135,11,1
2978,237,19,1
3080,143,5,1
3253,53,17,1
3034,193,22,2
3029,189,10,1
3194,34,7,1
3114,86,13,1
3293,10,7,2
3326,160,9,1
3018,53,23,1
3263,235,29,1
3298,160,26,1
3007,255,5,2
2821,354,9,2
3200,159,13,1
3010,351,12,2
3139,354,9,2
2909,143,15,2
2662,339,18,2
2786,168,16,2
3205,135,9,2
3039,52,10,2
3034,14,9,2
2772,50,16,2
2807,39,10,2
3000,280,16,1
3289,88,5,2
3228,32,19,1
2858,117,15,2
2791,319,14,2
2434,69,27,2
2943,358,15,1
2961,103,13,2
2988,220,18,2
2949,47,9,1
2817,285,3,2
3166,127,22,1
2978,282,8,2
2785,344,6,2
2865,217,21,2
3060,287,10,2
3010,112,19,1
2870,38,11,2
2859,343,6,2
2985,260,4,2
3107,125,8,2
2835,339,6,2
3365,1,20,1
3060,148,9,2
3037,23,14,1
2832,212,9,2
2955,162,8,2
3176,292,15,1
2586,39,3,2
3135,113,14,2
2827,54,26,2
3066,111,16,1
3158,261,10,2
2828,45,9,2
3020,102,10,2
3021,43,12,2
3212,121,18,1
3192,207,17,2
3227,194,6,1
2763,324,12,1
2778,56,13,2
3120,9,22,1
3184,1,17,2
3434,110,17,1
2997,319,9,1
3338,219,12,1
3172,284,10,1
3262,273,22,1
2915,86,15,2
3005,355,6,2
2948,219,32,2
2722,223,10,2
2951,329,40,1
3105,22,20,1
3082,3,4,1
2989,62,11,2
3187,207,20,1
3194,45,13,2
2574,80,4,2
3091,60,8,1
3192,10,7,1
3331,8,19,1
2510,75,11,2
3148,174,9,2
3342,143,20,1
3178,298,6,2
3095,64,14,1
3209,217,22,2
2940,59,7,1
2985,73,12,2
3092,359,29,1
3160,336,22,2
3300,205,21,1
3037,241,27,2
3310,267,18,2
2732,53,5,2
2903,119,6,2
2606,296,24,2
2906,47,13,2
2766,94,10,2
3129,180,6,2
3231,37,10,1
3012,3,12,1
2679,315,9,2
2931,322,18,1
3142,298,8,1
2735,28,6,2
2660,8,22,2
3192,346,19,1
2899,335,13,2
2821,172,26,2
3108,261,11,2
2963,280,9,2
3317,323,12,2
2825,176,9,2
3250,38,8,1
2885,238,6,2
3152,67,10,1
3044,52,19,2
2595,293,5,2
3315,303,22,1
3204,288,2,1
3127,331,26,1
2908,288,14,2
2893,333,3,2
2783,31,6,1
3065,11,15,2
2962,265,8,2
3186,324,4,2
3103,52,6,1
2975,204,6,2
2915,62,25,2
3204,49,19,1
2928,132,18,2
3318,189,9,1
2747,31,3,2
3263,29,11,1
2919,152,10,2
3165,65,14,1
2677,125,8,2
3127,154,15,1
3183,4,16,1
3298,108,13,2
3128,265,13,2
2478,347,25,2
3002,23,16,1
2855,64,25,2
3374,304,3,1
2814,109,17,2
2894,8,13,2
2954,333,7,2
3041,349,7,2
3231,154,15,1
3290,238,9,1
3044,350,8,1
3126,115,11,1
3274,92,6,2
3184,51,20,2
2983,211,19,2
2967,39,9,2
2950,29,25,2
3234,39,7,2
3231,131,19,1
2973,279,25,1
3287,325,14,1
2939,324,9,2
3199,120,13,1
3335,256,15,1
2926,2,20,2
2780,335,13,1
2980,252,9,2
3244,51,17,1
3168,225,14,2
3172,324,2,1
2775,55,10,2
2817,275,22,1
3029,22,7,1
3189,94,18,1
2886,52,22,2
3239,13,3,1
2547,169,7,2
2691,98,12,2
3095,5,10,2
3073,14,4,2
3159,241,9,2
2970,61,21,1
3219,166,4,1
2852,321,25,2
2804,234,14,2
2962,231,33,2
3205,111,13,1
2700,63,7,2
3198,342,2,1
2874,172,5,2
3269,85,11,1
3144,22,5,1
3175,351,8,1
2808,80,13,2
3123,188,18,2
3121,291,10,1
2634,32,12,2
3034,33,16,2
3113,1,18,1
2716,148,37,2
2952,15,13,1
2965,351,11,1
2961,58,9,2
2763,71,9,2
2517,28,9,2
2994,24,11,2
2792,86,7,2
2726,82,10,2
2910,140,26,1
3188,101,5,1
2861,16,12,2
3375,211,19,1
3106,205,20,1
3033,148,16,1
2971,351,19,2
3024,153,8,2
3136,165,23,1
2986,81,9,2
3169,324,15,1
3217,160,21,2
3150,300,15,1
2719,192,6,2
2973,22,4,2
2889,117,24,2
2629,358,23,1
3317,223,11,1
3106,343,10,1
2987,52,6,2
3004,29,7,1
2915,91,12,2
3231,172,19,2
2993,66,12,1
2951,347,18,2
2983,125,10,2
2763,27,19,1
2968,280,4,2
2883,14,15,2
2870,132,14,2
2731,58,13,2
2874,161,20,2
2765,135,17,2
2815,75,31,2
3163,342,18,1
3224,264,12,1
2904,137,17,2
2858,62,15,2
2809,131,20,2
3317,323,33,1
3271,349,14,1
2634,105,12,2
3142,238,11,2
3268,72,20,1
2573,36,16,2
2649,108,12,2
3168,52,8,1
3279,63,10,1
2909,243,7,2
3052,89,20,2
2758,82,7,2
3209,217,22,1
3116,86,12,1
3010,90,12,2
2989,351,10,2
3045,152,21,2
2824,22,10,1
3034,238,10,2
2974,14,8,1
3358,317,19,2
3259,318,13,1
2816,214,15,2
2798,334,11,2
2917,278,14,2
3044,185,13,2
3324,210,19,1
3210,77,8,1
3193,32,12,1
2869,216,12,2
2926,322,18,2
3092,25,31,1
2982,281,13,2
3070,200,6,1
2897,46,15,2
3090,0,11,2
2723,0,1,2
3037,15,11,1
2945,65,17,2
2913,93,5,2
3008,209,17,2
3000,146,16,2
3086,4,4,2
2919,6,7,1
2942,285,16,2
2916,263,33,2
2971,65,17,2
3207,88,7,2
3089,256,19,2
2679,88,23,2
3253,109,17,1
2978,279,20,2
3117,149,11,1
2840,82,13,2
3099,78,12,1
2683,343,9,2
3196,219,3,2
2941,119,15,2
2696,323,22,2
3187,272,8,1
3261,295,18,2
3126,88,8,2
2959,255,13,2
2541,214,23,2
3174,212,19,1
2989,5,14,1
3112,252,12,1
2770,320,14,2
2986,307,19,2
3033,130,13,1
2928,45,14,1
3021,157,12,2
2959,22,11,1
2982,86,13,1
2849,340,8,2
3459,247,23,1
3041,30,22,1
3077,102,11,1
3114,13,20,1
2942,117,11,2
3223,6,16,1
3181,111,4,2
3001,153,5,2
2929,298,11,2
2852,34,12,1
2863,270,31,2
3216,52,6,1
3245,310,15,1
3224,354,7,1
3065,353,8,1
3205,6,7,1
2551,154,13,2
3244,156,20,1
2700,77,21,2
3172,73,10,2
3236,213,15,1
2670,289,10,2
2838,47,11,2
3263,297,6,2
2657,41,28,2
2697,0,5,2
2660,30,9,2
3257,83,17,1
2859,147,17,2
2857,119,16,2
2982,355,18,2
2682,128,15,2
3095,291,4,2
2703,359,10,2
2973,34,9,1
3216,103,11,1
3151,321,26,1
3217,17,16,1
2744,212,26,2
3107,131,11,2
3334,331,17,1
2780,6,23,2
3275,309,6,1
3249,101,8,1
2996,50,27,1
2900,293,2,1
3174,225,3,1
3094,57,7,2
3047,113,4,2
3129,250,16,2
2984,48,7,2
3045,332,6,2
3163,0,2,2
2984,99,7,1
2869,82,21,2
3083,45,8,2
3101,62,22,1
3195,16,15,1
3097,261,5,1
3116,104,10,1
2773,25,10,2
3239,62,14,1
2860,110,14,1
2726,108,8,2
3239,207,20,1
2814,179,10,2
2718,36,10,1
3005,9,7,1
2963,143,9,2
3266,331,6,2
3208,346,9,1
2766,69,20,2
3134,95,11,1
2610,353,41,2
2777,30,4,2
3103,297,21,1
3155,34,9,1
2794,34,14,2
2616,34,14,2
2630,340,6,2
3114,36,10,1
2626,29,23,2
3163,339,8,1
2942,100,14,2
3091,126,13,1
3230,37,17,1
2768,17,25,2
3006,311,10,2
2935,46,14,1
3069,342,3,1
3059,99,6,1
3219,0,1,2
3139,15,7,2
2737,120,16,2
3325,176,7,2
2890,73,15,2
2652,124,17,2
3050,122,10,1
3116,45,10,1
2987,344,13,1
3303,306,9,1
2892,38,13,2
2822,21,17,2
3377,14,20,1
2941,330,26,2
2811,18,11,2
2955,336,5,2
2745,23,15,2
3232,100,14,1
3037,1,16,1
2926,156,8,2
2851,53,5,2
2971,95,6,1
3071,285,14,1
2922,201,13,2
3311,1,28,1
2754,329,6,2
2754,193,16,2
3100,15,16,2
3235,209,11,1
2769,348,15,1
3295,84,7,2
3005,194,8,2
2989,211,17,2
3035,135,5,2
3073,98,2,1
2584,351,8,2
3149,342,9,2
3338,256,12,1
2982,57,13,1
2582,146,14,2
3155,358,18,1
3131,336,22,2
2916,207,18,1
2610,21,4,2
3124,198,3,2
3133,263,6,2
2992,174,11,2
3031,115,18,2
3142,42,15,1
3029,14,13,1
2959,332,8,2
3194,36,14,1
3114,137,10,1
3143,117,17,1
2765,91,20,2
2777,149,3,2
2978,64,7,2
2903,214,14,2
2815,72,5,2
3076,70,5,2
3242,170,16,1
2790,180,24,2
2635,353,13,2
3078,255,14,1
3014,22,25,1
3069,14,4,2
3152,83,14,1
2799,259,15,2
3142,309,3,1
3240,340,11,1
2850,228,27,2
3286,229,4,2
2967,270,9,2
2815,260,36,2
2979,48,12,1
2913,324,10,2
2731,96,19,2
3045,54,7,1
2764,157,7,2
3310,211,26,1
3090,335,5,1
2782,351,3,2
3031,184,17,2
2915,325,13,1
2765,84,11,2
2953,16,4,1
3250,156,9,1
3017,18,18,2
3128,239,12,1
2896,156,17,2
2905,158,8,2
2968,299,6,2
3115,261,12,2
2834,89,20,1
2592,66,17,2
3049,344,10,2
2797,354,9,1
3083,143,7,2
3129,44,13,2
3360,272,13,1
2494,165,5,2
2968,122,12,2
2985,168,10,2
2877,185,21,2
3022,144,6,2
3265,162,18,2
3145,112,5,2
2684,85,20,2
2800,325,12,2
3296,90,4,1
2721,265,10,2
3075,117,23,1
2761,36,7,2
2945,215,8,2
3028,191,18,1
3182,252,2,1
2653,272,19,2
3087,147,8,2
2879,122,11,2
3028,8,7,2
3189,193,13,2
3097,261,12,2
2897,28,11,2
3088,318,14,2
2972,266,25,2
2887,345,26,2
3178,122,17,2
3066,18,3,2
3018,253,12,2
3012,26,9,1
3461,37,16,1
2793,335,16,1
2936,135,2,2
3001,258,15,1
2644,43,10,2
3114,331,14,2
3174,204,17,2
2962,170,15,2
3375,303,5,1
2908,192,11,2
3238,158,11,1
3028,89,15,2
3104,60,8,2
2998,25,21,2
2932,125,11,2
2916,99,22,2
3000,119,7,2
2906,20,10,2
2861,143,12,2
2919,68,8,2
2760,37,26,2
3369,307,12,1
3212,109,11,1
3218,40,11,1
2895,70,18,2
3249,143,24,1
3220,33,24,1
3083,21,6,2
3304,142,16,2
2780,102,16,2
2512,253,27,2
3008,287,13,2
3223,45,12,1
3047,45,9,2
3046,135,0,2
2999,16,16,1
2967,306,13,2
3036,311,9,2
2872,11,1,2
2928,207,27,2
2753,298,25,2
2988,0,14,1
2847,128,8,2
3265,103,21,1
2883,65,9,2
2999,22,9,2
2984,27,2,2
3230,127,29,1
2750,348,13,2
2987,352,13,1
3295,94,8,1
2936,337,14,1
2824,107,11,2
2785,317,12,2
2973,311,5,2
3098,162,9,1
3288,197,32,1
3000,206,6,2
3209,324,4,1
3004,225,11,2
3175,33,14,1
3319,342,16,1
2892,355,20,2
2791,66,15,1
3241,118,13,2
3211,281,2,2
3178,231,6,2
3379,355,15,1
3012,334,21,2
2978,35,9,2
2952,26,24,2
3316,173,24,1
3366,286,18,1
2665,45,27,2
3017,59,17,2
3196,82,7,2
3021,303,11,1
2640,48,17,2
2808,306,16,2
3071,304,9,2
3288,314,13,1
3001,342,24,1
3077,188,7,2
2936,353,10,2
3148,211,18,2
2780,80,16,2
3022,282,7,2
2888,51,12,1
3325,333,33,1
2950,304,23,2
3071,121,18,1
3105,356,14,1
3090,92,7,2
3191,203,12,1
3204,247,8,2
2922,180,1,2
2784,118,20,2
2606,52,17,2
2798,288,11,2
2791,323,2,2
3275,325,20,2
3026,35,13,1
3191,116,10,1
2743,156,8,2
3087,247,14,2
3293,174,7,1
2962,353,10,1
3295,179,17,2
2858,340,18,2
3233,26,14,1
3070,55,13,1
2929,202,8,2
3068,303,19,1
2928,129,15,2
3204,119,8,1
3099,203,2,1
2909,229,4,2
2773,198,8,2
3042,122,8,1
3195,257,12,1
2981,69,10,2
2990,3,10,2
3222,65,11,1
3281,134,25,1
2958,106,14,2
3289,349,9,1
3223,269,23,1
3283,173,6,2
2942,346,19,2
2882,264,20,2
2872,79,6,2
3279,111,19,1
2841,315,12,2
3147,45,4,2
3274,96,12,1
3265,79,7,1
2854,107,7,2
2743,29,11,2
3128,182,6,2
3190,51,19,1
2963,60,7,1
2928,63,14,2
3178,77,10,2
3044,3,9,1
3110,106,11,2
2971,110,15,2
2968,29,7,2
3479,346,15,1
3056,292,26,1
3199,235,4,2
3177,150,15,1
3300,316,13,1
2831,120,7,1
2993,96,7,2
3257,98,14,1
3202,217,11,2
3010,174,12,1
2563,275,19,2
2900,29,26,2
2656,225,4,2
3024,323,9,1
2802,48,6,2
3262,51,17,1
2955,202,9,1
2913,153,3,2
3042,288,5,2
3083,124,17,1
3088,253,21,1
3022,206,17,2
3404,263,8,1
3090,146,7,2
3393,171,8,1
2911,269,31,1
2998,34,5,1
2552,321,13,2
2818,45,13,2
2952,159,31,2
2985,246,11,2
3275,48,25,2
2752,40,8,2
3178,319,5,1
2952,135,12,2
2939,135,9,2
3265,186,9,1
2557,73,6,2
3228,179,16,2
2730,62,15,1
2941,105,17,1
2881,145,9,2
2992,228,6,2
3059,90,3,2
3196,285,5,1
3123,212,7,1
3260,270,4,1
2868,287,13,1
2959,225,10,2
3084,49,10,1
2828,116,9,2
3028,204,18,1
2853,13,4,2
3213,301,15,1
2872,353,20,2
2756,25,27,2
3032,350,11,1
3060,290,8,2
2788,90,31,2
3222,18,17,1
3241,44,20,2
3464,121,7,1
2924,288,13,2
3159,267,15,1
3317,14,8,2
2905,349,21,2
2540,103,10,2
3311,193,15,1
3087,23,8,1
2948,170,25,2
3065,325,20,1
3016,54,4,2
2992,37,9,2
3034,334,23,1
2807,43,11,2
2953,256,33,2
3143,12,8,1
3171,50,12,2
3245,40,13,1
2962,77,15,2
3175,92,6,1
2865,96,6,2
3382,50,15,1
3152,344,13,1
2972,323,19,2
3079,13,23,1
2833,95,18,2
3259,341,16,1
2838,358,22,2
2960,150,8,2
2952,282,15,2
3291,251,9,1
2875,169,23,2
2959,332,4,2
3032,336,11,2
3109,50,14,1
3225,301,10,1
2782,316,17,2
3076,238,15,2
3086,307,10,1
3033,89,19,2
2980,80,19,1
2968,246,15,2
3286,268,6,1
3161,52,15,1
2973,116,14,2
3027,90,5,1
2682,157,10,2
3044,252,4,2
3155,102,24,1
2974,218,11,2
2999,139,9,1
3182,214,3,2
3072,30,7,1
3062,12,18,1
3070,353,4,1
3111,323,14,1
2964,132,13,2
2504,237,18,2
2811,11,14,2
3095,138,13,2
3167,132,17,2
3285,257,16,1
3039,52,13,2
3161,42,12,1
3148,310,15,2
3250,53,2,2
3158,56,7,1
2938,198,2,2
3218,225,4,2
2746,1,20,2
2687,132,6,2
3242,297,11,1
3319,207,11,1
3228,201,20,1
3000,284,12,2
2985,221,10,1
2826,70,7,2
3006,4,9,2
3165,354,19,2
3077,182,28,2
3319,298,6,1
2840,102,10,2
3256,63,35,1
3137,107,9,1
2965,204,6,1
2726,113,16,1
2974,35,10,1
3074,162,20,2
3011,186,7,2
3112,45,4,2
2752,82,7,1
2950,76,22,2
2991,4,10,2
3322,198,10,2
3109,58,9,1
2840,209,21,2
3369,47,10,1
3361,353,15,1
2709,315,26,1
2981,233,21,2
2630,16,23,2
2783,37,27,2
2546,83,8,2
3041,328,15,1
3018,16,6,2
2616,6,17,2
3341,305,9,1
2935,27,8,1
3119,125,11,1
2885,133,18,2
3042,307,15,2
3223,117,17,1
3244,144,2,2
2515,76,16,2
2972,2,8,2
3396,32,9,1
2997,69,30,1
3228,352,17,2
3151,115,10,1
3068,343,15,2
3236,60,10,1
2915,54,4,2
3191,346,9,1
3174,270,33,1
3094,115,20,1
2845,21,12,2
2966,29,6,2
2907,6,5,2
2890,33,17,2
3285,78,14,1
2684,84,12,2
3004,13,16,2
3163,35,14,1
3143,98,13,1
3142,152,13,1
2968,50,8,2
3223,54,16,1
3257,347,14,2
3191,354,10,2
2697,301,24,2
2967,133,20,2
2656,122,13,2
3174,45,2,1
2958,211,21,2
3041,123,16,2
3039,4,7,2
3201,352,5,1
3007,161,16,2
3212,295,15,1
2958,67,4,2
2865,198,14,2
2827,100,13,2
2883,307,42,1
2979,278,12,1
2967,321,15,2
2704,3,20,2
3129,76,13,2
2716,5,6,2
3111,86,12,1
2794,63,25,2
3183,218,8,2
3154,177,9,1
2973,128,13,2
3179,178,16,1
2809,356,16,2
2959,317,23,2
3176,323,20,2
2810,160,17,2
2753,252,8,2
2786,104,25,2
2634,18,5,2
3008,146,15,2
2922,45,2,2
2837,355,13,2
2950,31,13,2
3186,240,8,2
2586,288,6,2
2941,269,12,2
3236,16,7,1
2966,329,13,2
3119,303,17,2
3175,116,8,1
3081,35,16,1
3157,217,2,2
3197,105,7,2
3189,140,17,1
3006,101,8,2
3220,281,5,2
3263,83,11,2
3062,330,13,1
3102,230,4,1
2808,31,4,1
2794,265,13,2
2924,344,16,2
2771,351,10,2
2905,149,6,2
2952,90,20,1
2955,329,40,1
2813,103,8,2
3137,283,17,1
2900,78,14,2
3231,97,4,1
3347,179,12,1
3066,276,21,1
3118,0,8,2
2998,36,19,1
3276,73,17,1
2664,8,21,2
3070,189,9,2
3037,79,11,1
2726,65,19,2
2994,33,23,2
2932,285,11,2
3007,33,7,1
2955,306,8,2
3526,36,18,1
3247,99,16,1
3247,97,12,1
2958,241,11,1
3001,17,28,2
3267,214,7,1
2629,110,12,2
3159,72,11,1
2848,230,20,2
2827,62,11,2
2804,117,7,2
3113,74,22,2
3100,115,29,1
2825,212,21,2
3258,81,10,2
2732,56,5,2
2857,168,21,2
2587,37,7,2
3073,22,4,1
2587,77,3,2
2904,176,13,2
3093,33,22,1
2955,109,10,2
3070,156,6,2
2969,60,12,2
3034,45,6,1
2954,301,17,2
2831,57,8,2
2823,57,7,2
3341,126,12,1
3101,109,12,1
3220,87,23,2
3218,344,16,1
2759,326,17,2
3028,63,3,2
2932,72,10,2
3081,88,11,2
2907,72,11,2
2954,8,14,2
3171,258,13,2
2986,94,4,2
2664,194,19,1
2997,233,34,2
3011,143,19,2
3157,205,17,1
3080,96,6,2
3137,83,4,1
3372,196,8,1
3311,310,8,1
3274,284,10,1
2887,18,1,2
2896,32,8,2
3043,315,10,2
2989,128,15,2
2855,255,27,2
3351,265,6,1
2991,195,13,1
3076,16,28,1
3128,32,20,1
3119,56,5,1
3253,277,13,1
2977,135,15,2
2880,124,5,2
3170,256,2,1
3079,151,6,1
2468,32,3,2
3274,128,14,1
3050,75,11,1
3069,290,9,1
2970,278,15,2
2914,331,10,1
3177,325,15,1
2912,298,5,2
3081,160,6,1
3009,336,20,1
3241,240,9,1
2930,347,16,2
3138,152,30,1
2933,329,8,2
3168,233,5,1
2749,200,14,2
3141,359,10,1
2919,135,3,2
3028,94,13,1
3022,326,5,1
2653,69,14,2
3084,24,15,2
2600,19,11,2
3008,194,12,2
2972,323,12,2
2975,187,4,2
2997,297,7,1
2702,45,10,1
3258,116,20,1
3150,189,12,2
3093,30,14,1
3165,9,10,1
3201,136,15,2
2802,66,22,2
3081,190,7,1
3344,73,15,1
3344,152,11,1
2979,146,21,1
3203,1,20,1
3057,22,5,1
3131,59,12,1
3095,37,24,1
3203,80,11,1
3049,69,24,1
3063,126,10,2
2988,180,9,2
3305,95,14,1
3393,299,9,1
3139,86,15,1
3239,294,14,1
3243,253,8,2
3129,161,9,2
3014,80,15,2
2555,28,22,2
3051,69,4,2
3183,73,7,1
3064,78,10,1
2987,58,8,1
3195,146,20,1
3155,36,14,1
3130,347,17,1
3072,313,8,1
2812,63,10,2
2801,90,2,2
2676,63,7,2
2741,135,9,2
3204,103,16,2
2782,350,14,1
3193,24,5,2
3231,49,4,1
2993,90,14,1
3070,32,21,1
3113,316,19,1
3285,105,11,1
3151,168,12,2
2953,126,19,1
3054,229,17,2
3047,225,5,1
2831,127,16,2
2974,0,6,1
3146,82,11,1
2906,127,14,2
2887,12,10,2
3318,147,16,2
2968,150,23,2
3168,58,21,1
2898,243,21,2
2623,5,18,2
3281,336,3,1
2982,225,9,1
3245,221,4,1
3369,281,32,1
3121,244,22,2
3207,34,27,1
2971,130,16,2
3123,23,4,1
2707,167,9,2
2733,217,23,2
3035,78,15,2
3027,225,18,2
2913,345,15,1
3024,230,16,2
3295,161,11,1
3003,72,3,2
3076,32,4,2
2786,205,10,2
3138,106,34,1
2927,67,17,2
2891,155,12,2
3087,76,4,2
2546,34,21,2
3358,305,13,1
2994,311,24,2
2853,255,20,1
3169,4,21,1
2959,55,18,2
3052,11,5,2
2816,1,20,1
3224,20,16,1
2976,91,19,2
2945,302,18,2
2958,282,22,2
2589,81,17,2
2764,128,12,2
3104,299,12,1
2712,113,10,2
2516,76,7,2
2932,20,19,1
3179,0,12,1
3313,45,7,1
3220,78,15,1
2873,336,6,2
2988,12,18,2
3184,215,18,1
2722,108,2,1
2630,89,11,2
3132,102,13,1
3070,153,26,2
3184,107,11,1
2965,143,15,2
2922,72,3,1
3315,294,19,1
3146,84,9,2
2952,349,16,2
2803,38,8,2
2837,196,20,2
2948,347,6,1
3256,1,12,1
3001,232,38,2
3066,122,19,1
2815,72,10,2
3072,300,11,1
3149,45,4,2
3080,45,3,2
3064,103,13,1
3097,48,6,1
2906,47,20,2
3594,310,24,1
3070,0,11,2
3213,299,8,1
2565,112,3,2
2959,61,16,1
2856,104,18,2
3168,23,6,1
3377,103,15,1
2948,299,11,2
3022,236,7,1
2935,345,9,2
3159,96,21,1
2698,48,29,2
3304,15,10,1
2752,78,22,2
3174,277,8,2
3069,110,16,1
2953,52,17,2
2976,116,19,2
2996,94,7,1
3133,346,8,1
2847,11,18,2
2888,165,25,2
2962,310,16,2
2849,67,22,1
3173,276,24,1
2752,67,8,2
2755,289,13,2
3155,83,9,1
2611,78,12,2
2854,141,14,2
3197,13,3,1
3227,101,5,1
2934,27,8,1
2972,311,5,2
2991,20,20,1
3031,122,13,1
2688,42,18,2
2800,54,14,2
3102,24,18,1
3020,108,2,1
2965,43,9,1
2952,166,18,2
3407,42,6,1
3182,349,4,1
2982,329,17,2
2938,335,9,1
3037,352,18,2
2952,211,3,2
3364,337,11,1
3147,244,16,2
2760,95,8,2
2903,21,8,2
3233,322,8,1
2908,123,16,1
2916,354,4,2
3066,291,16,1
3121,345,5,1
3315,218,19,1
3065,334,13,1
2976,128,15,2
2768,305,19,2
3311,60,22,1
3274,61,12,2
3220,144,17,1
2650,304,10,2
3132,158,9,1
3224,139,10,1
3325,68,3,1
3024,341,9,2
2717,34,16,2
2997,71,16,2
3119,121,12,1
2774,351,11,2
2680,65,4,2
3316,277,16,1
3247,303,21,1
3251,163,6,1
2826,55,12,2
2647,4,12,2
3117,308,9,1
2641,41,39,2
2876,302,9,1
2931,30,12,1
3297,76,6,1
2948,90,15,2
2848,268,21,2
3263,83,45,1
3070,299,17,2
3002,157,30,2
3194,337,11,1
2834,71,18,2
3454,126,7,1
3211,37,7,1
3039,123,8,1
3036,25,5,2
2860,39,21,2
2968,160,13,2
3280,0,2,2
3036,333,7,2
2897,158,13,2
2962,143,7,2
2946,335,25,2
2582,16,29,2
3066,350,9,1
3222,40,11,1
2991,195,13,1
3260,75,15,1
2575,68,5,2
3268,61,23,1
2905,47,10,2
2995,270,8,2
3168,338,5,1
3234,1,15,1
3047,165,11,2
2742,31,18,2
3380,95,8,1
3054,42,6,1
3293,164,9,1
3044,240,8,2
2909,188,2,2
2969,9,6,2
2925,118,13,1
3259,126,22,1
3310,0,14,1
3188,193,20,2
2928,63,15,1
2824,347,10,2
3018,280,21,2
2442,303,18,2
2974,79,14,2
3165,73,9,2
2930,310,16,2
2772,58,9,2
2988,34,11,2
3145,180,10,1
3028,142,9,1
2728,46,16,2
3036,8,13,1
2971,126,13,2
3263,174,23,1
3358,304,7,1
3150,235,20,1
3014,25,16,1
3001,101,4,2
2779,104,9,2
2942,18,14,2
3236,165,11,2
3289,338,4,1
2960,345,7,2
3149,111,12,1
3360,193,13,1
2670,29,20,2
3316,299,20,1
2909,233,2,2
3322,76,30,1
2687,185,19,2
2813,12,16,1
3118,76,11,1
3120,153,7,2
2643,45,5,2
3325,231,23,1
3044,329,6,2
3094,343,23,1
2753,146,15,1
2614,0,5,2
2881,11,14,2
3041,22,3,2
3249,336,18,1
3346,10,12,1
3080,73,10,1
2535,80,9,1
3053,283,16,2
2732,266,12,2
2968,129,9,1
2751,132,12,1
3234,104,14,1
2767,11,10,1
3169,252,13,2
3116,90,14,2
2870,40,12,1
3037,296,15,1
3037,52,14,1
3054,129,13,2
2907,118,13,2
3201,77,12,1
2912,234,21,2
3237,1,36,2
3261,62,4,1
3220,88,6,2
2821,323,22,2
3197,274,9,1
3323,230,7,1
2942,84,12,2
3127,284,9,1
2722,72,2,2
2899,98,15,2
2831,86,12,2
3210,71,10,1
3175,188,5,2
2890,354,16,2
3084,156,11,1
2679,0,30,2
3240,231,3,1
3017,9,7,2
3142,120,21,1
3130,14,4,1
3065,194,10,1
3229,221,10,2
2897,10,7,2
3091,67,22,1
